,CD86_DC,CD80_DC,CD40_DC,DR_DC,CD86_Mo,CD80_Mo,CD40_Mo,Dr_Mo,CD86_B,CD80_B,CD40_B,DR_B,CD86pos_DC,CD80pos_DC,CD40pos_DC,DRpos_DC,CD86pos_Mo,CD80pos_Mo,CD40pos_Mo,DRpos_Mo,CD86pos_B,CD80pos_B,CD40pos_B,DRpos_B
Mix_coculture_CD3pos_B2_B02.fcs,9307,119,774,27408,4592,97.9,667,22635,2391,52.5,2151,50571,98.2,6.17,41.5,99.9,97.2,2.71,35,99.9,96.6,1.06,94.7,100
Mix_coculture_CD3pos_B3_B03.fcs,9428,117,841,28703,4809,102,767,23997,2523,53.4,2404,54214,98.7,6.44,46.8,100,97.9,3.1,40.7,99.9,97.1,1.1,95.9,100
Mix_coculture_CD3pos_B4_B04.fcs,9606,116,835,28323,4891,97.6,798,24311,2529,50.6,2334,53180,98.3,6.05,45.2,100,97.8,2.94,42.8,99.9,97.1,1.07,95,100
Mix_coculture_CD3pos_C2_C02.fcs,7977,91.4,824,26956,5484,107,975,19319,2409,46.9,2254,52827,98.5,2.47,47.1,99.9,98,3.79,53.3,99.8,97,1.22,96,100
Mix_coculture_CD3pos_C3_C03.fcs,7576,86.7,790,26170,5140,105,953,18211,2391,44.6,2230,52601,98.3,2.38,43.9,99.8,97.7,3.12,52.1,99.7,96.6,1.07,96,100
Mix_coculture_CD3pos_C4_C04.fcs,7112,85.3,793,26255,5303,103,970,18863,2378,42.8,2215,52601,97.6,2.34,44.3,99.9,98.1,3.41,52.9,99.8,96.3,1.01,96.1,100
Mix_coculture_CD3pos_D2_D02.fcs,9551,179,1226,32478,6609,174,1264,23071,2493,60.1,2283,53637,97.5,20.6,62.9,99.5,98.6,18.4,63.2,99.8,96.9,2.32,96,100
Mix_coculture_CD3pos_D3_D03.fcs,8774,148,1198,28598,6217,142,1273,21663,2329,45.8,2194,51061,98,16.4,62.4,99.4,98.7,11.8,64,99.9,95.9,1.34,96.1,100
Mix_coculture_CD3pos_D4_D04.fcs,7982,168,1186,30448,6532,164,1305,23221,2431,54.9,2251,52878,96.7,18.2,60.7,98.9,99.1,15.2,65.4,99.9,96.5,1.66,96.2,100
Mix_coculture_CD3pos_E2_E02.fcs,12389,226,1809,37856,9921,342,2928,35801,2636,56.1,2306,50744,98.6,29.7,73.5,99.9,99.8,59,88,100,97.9,2.31,94.5,100
