,CD56_bright_NK_freq_of_CD3neg,CD16pos_NK_freq_of_CD3neg,NKG2Dpos_CD56bright_NK,NKG2Dpos_CD16pos_NK,NKG2D_MFI_CD56bright_NK,NKG2D_MFI_CD16pos_NK
Mix_coculture_CD3pos_B2_B02.fcs,0.84,41.5,53.6,62,258,290
Mix_coculture_CD3pos_B3_B03.fcs,0.71,40.6,60.7,61.5,287,283
Mix_coculture_CD3pos_B4_B04.fcs,0.48,40.2,47.5,54.2,221,243
Mix_coculture_CD3pos_C2_C02.fcs,0.33,38.7,48.1,55.5,204,253
Mix_coculture_CD3pos_C3_C03.fcs,0.55,38.5,47.8,53.2,227,238
Mix_coculture_CD3pos_C4_C04.fcs,0.5,38.2,54,55.9,244,252
Mix_coculture_CD3pos_D2_D02.fcs,0.57,38.7,45.1,55.2,226,249
Mix_coculture_CD3pos_D3_D03.fcs,0.66,37.1,49.1,55.5,214,247
Mix_coculture_CD3pos_D4_D04.fcs,0.57,37.5,53,56.2,248,256
Mix_coculture_CD3pos_E2_E02.fcs,0.79,38.2,41.8,46.4,215,201
Mix_coculture_CD3pos_E3_E03.fcs,0.93,38.4,45.9,46.6,233,200
Mix_coculture_CD3pos_E4_E04.fcs,0.81,37.9,49.4,46.6,216,200
Mix_coculture_CD3pos_F2_F02.fcs,0.75,43.5,47,43.7,198,192
Mix_coculture_CD3pos_F3_F03.fcs,0.85,43.6,45.1,45.5,194,198
Mix_coculture_CD3pos_F4_F04.fcs,0.84,43.3,39.3,45.8,185,197
Mix_coculture_CD3pos_G2_G02.fcs,0.62,37.7,58,57.4,233,262
Mix_coculture_CD3pos_G3_G03.fcs,0.76,37.9,42.6,52.9,205,236
Mix_coculture_CD3pos_G4_G04.fcs,0.75,38.9,48.9,54,236,239
Mix_coculture_CD3neg_B5_B05.fcs,0.55,36.7,43.3,53.2,214,232
Mix_coculture_CD3neg_B6_B06.fcs,0.61,37.8,56.9,57.3,257,258
Mix_coculture_CD3neg_B7_B07.fcs,0.6,37.8,49.6,56.9,244,255
Mix_coculture_CD3neg_C5_C05.fcs,0.71,38.7,46.2,54.5,211,244
Mix_coculture_CD3neg_C6_C06.fcs,0.7,40.3,54.3,55.9,241,251
Mix_coculture_CD3neg_C7_C07.fcs,0.83,41.3,57.4,60.3,244,281
Mix_coculture_CD3neg_D5_D05.fcs,0.65,37.8,45.3,58.8,206,271
Mix_coculture_CD3neg_D6_D06.fcs,0.67,38.5,45.9,59.9,240,275
Mix_coculture_CD3neg_D7_D07.fcs,0.74,38.2,50.3,61.9,239,288
Mix_coculture_CD3neg_E5_E05.fcs,1.1,35.9,51,56.1,229,256
Mix_coculture_CD3neg_E6_E06.fcs,1.19,35.9,45.7,52.8,205,237
Mix_coculture_CD3neg_E7_E07.fcs,0.96,36.8,45.6,60.2,235,280
Mix_coculture_CD3neg_F5_F05.fcs,1.29,38.3,39.6,51.5,184,224
Mix_coculture_CD3neg_F6_F06.fcs,1.33,39,33.6,50.1,174,222
Mix_coculture_CD3neg_F7_F07.fcs,1.37,39.1,42.1,50.2,190,221
Mix_coculture_CD3neg_G5_G05.fcs,0.66,38.1,50,58.1,234,263
Mix_coculture_CD3neg_G6_G06.fcs,0.81,39.7,46.3,57.2,213,258
Mix_coculture_CD3neg_G7_G07.fcs,0.82,38.5,55.4,60.5,256,280
Transwell_B8_B08.fcs,0.77,40.6,58.8,67.8,280,328
Transwell_B9_B09.fcs,0.76,41.1,57.8,70.6,296,352
Transwell_B10_B10.fcs,0.7,41.2,62.6,70,303,346
Transwell_C8_C08.fcs,0.77,41.9,68.6,69.9,312,346
Transwell_C9_C09.fcs,0.78,42.2,62.2,69.7,293,349
Transwell_C10_C10.fcs,0.81,42.9,60.6,71.2,287,359
Transwell_D8_D08.fcs,0.94,40.9,58.5,68.8,272,335
Transwell_D9_D09.fcs,0.79,41.8,61.7,68.4,280,333
Transwell_D10_D10.fcs,0.82,42,64.5,72.7,308,368
Transwell_E8_E08.fcs,0.95,39.5,60,64.4,280,304
Transwell_E9_E09.fcs,1.03,39.9,62.6,66,287,317
Transwell_E10_E10.fcs,1.11,41.1,64.2,66.1,302,317
Transwell_F8_F08.fcs,0.86,44.3,61.1,60,279,279
Transwell_F9_F09.fcs,0.8,44.9,62.3,61.9,299,292
Transwell_F10_F10.fcs,0.76,44.5,65.6,64.4,309,312
Transwell_G8_G08.fcs,0.78,40.1,68.2,66.6,325,323
Transwell_G9_G09.fcs,0.71,40.8,63.2,67.1,297,323
Transwell_G10_G10.fcs,0.72,41.3,69.6,72.5,343,365
